study_id,unique_id,months_since_IRS,Nsf,Nsn,Ndf,Ndn,N_total,N_dead,N_fed
1,52,1,0,0,240,8,512,512,488
1,53,2,0,0,376,0,640,632,632
1,54,3,8,0,416,32,872,832,792
1,55,4,8,0,744,40,1120,1064,1016
1,56,5,24,0,504,8,856,800,808
1,57,6,0,0,224,8,560,544,528
1,58,7,32,0,376,0,544,480,512
1,59,8,32,0,72,0,176,136,160
1,60,9,24,0,304,0,600,472,584
1,61,10,16,0,192,0,424,376,424
1,62,11,24,0,176,16,328,272,240
1,63,12,288,0,184,8,680,264,640
2,64,1,0,0,248,16,504,504,464
2,65,2,0,0,240,8,528,528,512
2,66,3,0,0,376,40,672,664,600
2,67,4,8,8,552,56,1040,992,936
2,68,5,40,8,512,56,1096,1016,968
2,69,6,24,0,464,0,832,784,792
2,70,7,0,8,352,56,640,592,480
2,71,8,8,0,88,0,136,120,120
2,72,9,16,0,312,0,456,416,456
2,73,10,8,0,152,16,256,248,232
2,74,11,40,0,88,16,216,136,192
2,75,12,232,0,136,0,464,176,464
3,76,1,0,0,117,162,441,423,198
3,77,2,18,0,153,72,351,324,252
3,78,3,18,0,81,27,243,189,180
3,79,4,189,45,207,36,675,342,531
3,80,5,1188,189,495,216,3141,1134,2637
3,81,6,3312,441,369,333,6183,1044,5085
3,82,7,2259,72,108,27,3528,288,3204
3,83,8,3213,135,18,9,5355,27,4986
3,84,9,2988,90,0,0,4230,9,4077
3,85,10,1971,90,0,0,2808,0,2682
3,86,11,1332,0,0,0,1836,0,1836
3,87,12,792,45,0,0,1224,0,1152
