study_id,unique_id,months_since_IRS,N_total,N_dead,N_fed
1,1,1,75,75,68
1,2,2,58,53,52
1,3,6,74,39,68
2,4,1.5,35,32,22
2,5,1.5,38,38,26
2,6,1.5,60,52,46
2,7,1.5,106,104,80
2,8,1.5,26,26,16
2,9,1.5,25,25,15
2,10,1.5,81,80,55
2,11,1.5,41,41,30
2,12,1.5,336,321,211
2,13,1.5,271,248,188
2,14,1.5,360,321,267
2,15,1.5,986,768,600
2,16,1.5,276,264,156
2,17,1.5,370,359,240
2,18,1.5,900,836,636
2,19,1.5,412,331,294
2,20,4.5,3,2,2
2,21,4.5,3,3,3
2,22,4.5,9,5,7
2,23,4.5,12,10,10
2,24,4.5,3,3,2
2,25,4.5,1,1,1
2,26,4.5,18,10,10
2,27,4.5,5,4,4
2,28,4.5,545,375,422
2,29,4.5,430,281,312
2,30,4.5,503,279,322
2,31,4.5,1201,592,831
2,32,4.5,390,302,261
2,33,4.5,361,283,258
2,34,4.5,828,563,638
2,35,4.5,515,299,339
2,36,9,16,12,12
2,37,9,9,5,8
2,38,9,25,11,21
2,39,9,23,11,19
2,40,9,24,12,22
2,41,9,4,2,4
2,42,9,29,16,24
2,43,9,9,7,8
2,44,9,728,358,561
2,45,9,512,260,404
2,46,9,547,152,423
2,47,9,972,294,766
2,48,9,592,335,497
2,49,9,445,286,327
2,50,9,812,390,657
2,51,9,426,155,361
3,52,1,512,512,488
3,53,2,640,632,632
3,54,3,872,832,792
3,55,4,1120,1064,1016
3,56,5,856,800,808
3,57,6,560,544,528
3,58,7,544,480,512
3,59,8,176,136,160
3,60,9,600,472,584
3,61,10,424,376,424
3,62,11,328,272,240
3,63,12,680,264,640
4,64,1,504,504,464
4,65,2,528,528,512
4,66,3,672,664,600
4,67,4,1040,992,936
4,68,5,1096,1016,968
4,69,6,832,784,792
4,70,7,640,592,480
4,71,8,136,120,120
4,72,9,456,416,456
4,73,10,256,248,232
4,74,11,216,136,192
4,75,12,464,176,464
5,76,1,477,459,234
5,77,2,351,342,252
5,78,3,243,189,180
5,79,4,675,522,531
5,80,5,3141,1557,2637
5,81,6,6183,2088,5085
5,82,7,3528,639,3204
5,83,8,5355,900,4986
5,84,9,4230,396,4077
5,85,10,2808,279,2682
5,86,11,1836,306,1836
5,87,12,1224,72,1152
6,222,1,512,402,488
6,223,2,640,445,632
6,224,3,872,611,792
6,225,4,1120,666,1016
6,226,5,856,476,808
6,227,6,560,315,528
6,228,7,544,265,512
6,229,8,176,59,160
6,230,9,600,352,584
6,231,10,424,224,424
6,232,11,328,55,240
6,233,12,680,75,640
7,222,1,512,502,488
7,223,2,640,597,632
7,224,3,872,738,792
7,225,4,1120,975,1016
7,226,5,856,639,808
7,227,6,560,431,528
7,228,7,544,435,512
7,229,8,176,87,160
7,230,9,600,430,584
7,231,10,424,357,424
7,232,11,328,172,240
7,233,12,680,279,640
8,234,2,703,598,366
8,235,4,370,326,204
8,236,6,385,304,258
8,237,8,359,334,93
8,238,10,1378,965,482
8,239,12,795,588,302
8,240,2,735,588,353
8,241,4,714,585,400
8,242,6,546,399,366
8,243,8,421,370,126
8,244,10,1540,1109,493
8,245,12,945,633,387
